defeat; 20; 290; 7; 1; 
victory; 22; 290; 30; 2; 
defeat; 17; 200; 2; 0; 
defeat; 19; 265; 17; 1; 
defeat; 19; 200; 14; 0; 
victory; 29; 335; 30; 3; 
defeat; 18; 210; 9; 0; 
victory; 11; 140; 30; 0; 
defeat; 28; 345; 20; 2; 
defeat; 14; 210; 2; 0; 
defeat; 14; 205; 25; 0; 
victory; 21; 290; 30; 2; 
defeat; 14; 200; 3; 0; 
defeat; 16; 205; 2; 0; 
defeat; 16; 210; 15; 0; 
victory; 31; 355; 30; 3; 
victory; 16; 220; 30; 1; 
victory; 8; 120; 30; 0; 
defeat; 17; 205; 14; 0; 
defeat; 23; 295; 7; 1; 
defeat; 15; 200; 19; 0; 
victory; 38; 510; 30; 6; 
defeat; 15; 200; 2; 0; 
victory; 16; 210; 30; 1; 
victory; 23; 285; 30; 2; 
defeat; 16; 200; 2; 0; 
victory; 15; 215; 30; 1; 
victory; 27; 340; 30; 3; 
defeat; 18; 200; 13; 0; 
defeat; 18; 200; 3; 0; 
victory; 14; 165; 30; 1; 
defeat; 16; 205; 3; 0; 
victory; 19; 260; 30; 2; 
defeat; 14; 210; 2; 0; 
victory; 16; 205; 30; 1; 
defeat; 25; 280; 11; 1; 
victory; 13; 160; 30; 1; 
victory; 14; 165; 30; 1; 
defeat; 22; 280; 20; 1; 
victory; 44; 560; 30; 6; 
victory; 21; 265; 30; 2; 
defeat; 16; 200; 6; 0; 
defeat; 15; 205; 9; 0; 
victory; 21; 295; 30; 3; 
victory; 29; 340; 30; 3; 
defeat; 17; 200; 1; 0; 
defeat; 14; 200; 19; 0; 
defeat; 57; 650; 20; 7; 
defeat; 14; 210; 5; 0; 
defeat; 29; 405; 23; 3; 
defeat; 43; 495; 16; 4; 
victory; 29; 365; 30; 3; 
victory; 20; 225; 30; 2; 
victory; 9; 105; 30; 0; 
defeat; 22; 285; 8; 1; 
